ATM_ID,Date,Day_of_Week,Time_of_Day,Total_Withdrawals,Total_Deposits,Location_Type,Holiday_Flag,Special_Event_Flag,Previous_Day_Cash_Level,Weather_Condition,Nearby_Competitor_ATMs,Cash_Demand_Next_Day
ATM_0002,2023-11-07,Tuesday,Afternoon,31283,7799,Gas Station,0,0,102614,Clear,2,23373
ATM_0023,2023-10-19,Thursday,Night,67447,10051,Supermarket,0,0,80369,Clear,0,47607
ATM_0017,2022-07-02,Saturday,Evening,56931,10349,Mall,0,0,92293,Cloudy,2,58803
ATM_0047,2022-11-18,Friday,Night,73790,3810,Supermarket,0,1,142660,Clear,3,91179
ATM_0037,2022-07-14,Thursday,Evening,20718,11404,Mall,0,0,87546,Clear,4,9643
ATM_0035,2023-12-05,Tuesday,Afternoon,41159,14248,Standalone,0,0,107140,Snowy,4,29906
ATM_0021,2023-11-11,Saturday,Morning,39606,14064,Standalone,0,0,112592,Cloudy,2,27873
ATM_0026,2023-12-15,Friday,Evening,61209,13051,Supermarket,0,0,99581,Cloudy,5,46483
ATM_0025,2023-11-25,Saturday,Afternoon,51759,12735,Supermarket,0,0,95956,Cloudy,4,50080
ATM_0001,2022-11-08,Tuesday,Evening,62381,14067,Bank Branch,0,0,126109,Snowy,3,44558
ATM_0029,2023-03-29,Wednesday,Afternoon,50315,11620,Supermarket,0,0,97397,Rainy,5,50242
ATM_0006,2022-10-18,Tuesday,Evening,37726,20461,Mall,0,0,79879,Rainy,5,22401
ATM_0020,2022-08-19,Friday,Afternoon,31787,13120,Bank Branch,0,0,112566,Rainy,3,16785
ATM_0040,2022-03-16,Wednesday,Night,51137,6614,Gas Station,0,0,119502,Rainy,5,44393
ATM_0045,2023-01-29,Sunday,Night,47794,12064,Gas Station,0,0,88725,Clear,0,43412
ATM_0050,2023-03-12,Sunday,Afternoon,53674,7465,Bank Branch,0,0,90579,Cloudy,0,37345
ATM_0036,2022-09-13,Tuesday,Morning,53480,2759,Gas Station,0,0,71850,Cloudy,5,57485
ATM_0034,2023-07-27,Thursday,Evening,39223,8932,Gas Station,0,0,106218,Cloudy,4,29520
ATM_0029,2022-06-12,Sunday,Night,72130,9904,Gas Station,0,0,79949,Rainy,5,50758
ATM_0018,2023-06-18,Sunday,Night,54840,5863,Bank Branch,0,0,110386,Clear,5,60947
ATM_0019,2022-08-29,Monday,Evening,72991,13450,Standalone,0,0,91975,Clear,1,51718
ATM_0010,2022-08-25,Thursday,Night,53361,10062,Bank Branch,0,0,101953,Clear,3,55715
ATM_0027,2022-12-05,Monday,Night,38404,17255,Gas Station,0,0,119185,Cloudy,3,23663
ATM_0050,2023-08-22,Tuesday,Morning,63084,10916,Supermarket,0,0,143796,Clear,2,50981
ATM_0020,2023-02-04,Saturday,Night,37875,0,Supermarket,0,0,89484,Rainy,3,39142
ATM_0015,2022-10-07,Friday,Night,55126,19380,Gas Station,0,0,119008,Snowy,5,47933
ATM_0044,2023-02-19,Sunday,Afternoon,41346,3398,Gas Station,0,1,136629,Clear,3,52332
ATM_0038,2023-08-01,Tuesday,Morning,67691,7654,Mall,0,0,65737,Rainy,3,73364
ATM_0012,2022-02-21,Monday,Evening,70308,9427,Gas Station,0,0,124756,Cloudy,2,61910
ATM_0022,2023-01-24,Tuesday,Evening,50078,10234,Gas Station,1,0,90998,Clear,3,48309
ATM_0002,2023-07-07,Friday,Morning,59342,10601,Standalone,0,0,110288,Clear,5,44039
ATM_0003,2022-02-01,Tuesday,Afternoon,26988,16388,Bank Branch,0,0,106646,Rainy,1,12684
ATM_0009,2023-04-30,Sunday,Morning,38772,15896,Supermarket,0,1,101350,Cloudy,5,34170
ATM_0017,2023-01-13,Friday,Afternoon,46265,14857,Supermarket,0,0,112907,Clear,1,41031
ATM_0020,2022-04-21,Thursday,Morning,70529,15292,Standalone,0,0,64825,Cloudy,3,56498
ATM_0046,2022-07-23,Saturday,Morning,45958,13587,Supermarket,0,0,130047,Rainy,0,33036
ATM_0045,2022-11-05,Saturday,Morning,51111,1483,Supermarket,0,0,98889,Snowy,4,48807
ATM_0028,2023-11-09,Thursday,Evening,18988,9554,Mall,0,0,73910,Snowy,0,10373
ATM_0027,2023-05-17,Wednesday,Morning,60045,11832,Gas Station,0,1,81202,Cloudy,5,51443
ATM_0010,2023-03-22,Wednesday,Afternoon,49059,14775,Supermarket,0,1,80285,Snowy,4,42331
ATM_0035,2023-05-11,Thursday,Night,57560,7348,Gas Station,0,0,84142,Snowy,2,46123
ATM_0016,2022-03-30,Wednesday,Evening,48394,4823,Gas Station,0,0,88927,Cloudy,4,44383
ATM_0040,2023-11-16,Thursday,Night,32031,6501,Standalone,0,0,104279,Snowy,1,30573
ATM_0032,2022-08-06,Saturday,Evening,48315,8895,Standalone,0,0,112283,Snowy,4,36839
ATM_0001,2023-06-14,Wednesday,Afternoon,61362,8624,Mall,0,0,53961,Cloudy,3,58361
ATM_0036,2022-09-04,Sunday,Night,74674,8754,Gas Station,0,0,111531,Clear,0,68316
ATM_0019,2022-08-15,Monday,Night,54668,9360,Bank Branch,0,0,80889,Snowy,3,49566
ATM_0036,2023-06-28,Wednesday,Evening,38654,2888,Gas Station,0,1,87068,Snowy,2,37044
ATM_0045,2023-04-10,Monday,Evening,33776,18435,Standalone,0,0,117632,Clear,5,23870
ATM_0013,2022-11-20,Sunday,Morning,51160,5693,Supermarket,0,1,130462,Rainy,1,53551
ATM_0014,2023-05-11,Thursday,Evening,58083,5621,Supermarket,0,1,72344,Snowy,0,64058
ATM_0013,2022-10-31,Monday,Afternoon,29021,12814,Standalone,0,0,86987,Clear,5,17148
ATM_0035,2022-05-10,Tuesday,Evening,42693,10242,Mall,0,1,83380,Snowy,5,38011
ATM_0009,2023-10-16,Monday,Night,46415,5462,Mall,0,0,88464,Snowy,3,35747
ATM_0031,2023-03-28,Tuesday,Evening,61330,10496,Bank Branch,0,1,115027,Snowy,3,63369
ATM_0008,2022-03-08,Tuesday,Night,40060,12852,Gas Station,0,0,84734,Clear,1,32198
ATM_0010,2023-07-31,Monday,Evening,22926,11298,Mall,0,1,81913,Clear,4,19055
ATM_0049,2023-03-03,Friday,Afternoon,49008,3944,Supermarket,0,0,86963,Cloudy,2,43567
ATM_0038,2023-03-16,Thursday,Evening,50710,15031,Supermarket,0,0,88462,Clear,1,33095
ATM_0041,2022-08-05,Friday,Evening,57947,17207,Mall,0,0,50567,Rainy,4,37843
ATM_0005,2022-06-10,Friday,Morning,38046,11855,Gas Station,0,0,87920,Cloudy,2,37715
ATM_0003,2022-08-26,Friday,Evening,51298,9221,Standalone,0,0,123355,Cloudy,0,35629
ATM_0044,2022-08-28,Sunday,Evening,53816,7561,Supermarket,0,0,91348,Rainy,3,39728
ATM_0008,2023-07-12,Wednesday,Afternoon,54346,20377,Bank Branch,0,1,117422,Rainy,0,40499
ATM_0004,2022-06-19,Sunday,Evening,45109,0,Supermarket,0,0,79838,Snowy,3,44435
ATM_0008,2023-04-25,Tuesday,Evening,50276,18382,Gas Station,0,1,106538,Cloudy,3,40754
ATM_0006,2023-09-05,Tuesday,Morning,46713,11178,Gas Station,0,0,115417,Snowy,0,28712
ATM_0006,2022-08-23,Tuesday,Morning,27821,15718,Standalone,0,0,106769,Rainy,3,17105
ATM_0034,2023-10-30,Monday,Night,43770,10909,Standalone,0,0,104964,Cloudy,5,30516
ATM_0032,2022-04-04,Monday,Night,62455,5719,Standalone,0,0,101431,Snowy,5,63645
ATM_0007,2022-06-14,Tuesday,Evening,42835,15187,Gas Station,0,0,89799,Snowy,5,22142
ATM_0026,2023-07-18,Tuesday,Morning,45951,5106,Gas Station,0,0,91114,Snowy,2,36577
ATM_0008,2023-02-18,Saturday,Morning,55659,14348,Supermarket,0,0,127112,Clear,1,48909
ATM_0034,2023-01-06,Friday,Night,38393,3776,Gas Station,0,0,64425,Rainy,2,34133
ATM_0036,2022-05-15,Sunday,Evening,72440,11399,Gas Station,0,0,77490,Cloudy,0,63426
ATM_0002,2023-10-08,Sunday,Afternoon,51640,13628,Bank Branch,0,0,109620,Clear,4,48067
ATM_0027,2022-04-06,Wednesday,Afternoon,53358,19410,Mall,0,0,126908,Clear,5,34886
ATM_0010,2023-05-26,Friday,Evening,35155,9371,Supermarket,0,0,101114,Cloudy,3,29883
ATM_0031,2022-09-07,Wednesday,Night,66412,9209,Supermarket,0,0,91462,Rainy,4,69831
ATM_0033,2022-05-20,Friday,Morning,34818,1725,Standalone,0,0,116463,Cloudy,2,31516
ATM_0033,2022-10-01,Saturday,Morning,51099,8321,Standalone,0,0,133380,Cloudy,1,39427
ATM_0029,2023-07-06,Thursday,Night,46313,8636,Standalone,0,0,46062,Cloudy,3,48115
ATM_0021,2022-07-13,Wednesday,Afternoon,49185,19244,Supermarket,0,0,122531,Cloudy,0,23599
ATM_0021,2023-04-30,Sunday,Night,45966,4467,Gas Station,0,1,151467,Rainy,3,41097
ATM_0003,2022-05-10,Tuesday,Evening,50888,10990,Mall,0,0,97112,Cloudy,0,38343
ATM_0034,2023-04-13,Thursday,Morning,49508,7282,Bank Branch,0,0,85743,Rainy,0,49672
ATM_0031,2022-09-29,Thursday,Evening,51596,0,Supermarket,0,0,121830,Clear,2,49547
ATM_0044,2023-07-01,Saturday,Night,44859,8142,Standalone,0,0,71849,Cloudy,4,41707
ATM_0003,2023-09-25,Monday,Morning,38332,14678,Bank Branch,0,0,125431,Snowy,1,22113
ATM_0048,2022-04-03,Sunday,Night,60825,4354,Mall,0,0,89509,Clear,3,61845
ATM_0011,2023-12-12,Tuesday,Evening,57340,8798,Mall,0,0,92503,Clear,2,54274
ATM_0023,2023-01-19,Thursday,Night,44585,15796,Bank Branch,0,0,78378,Cloudy,4,25918
ATM_0044,2022-07-04,Monday,Afternoon,59239,11630,Bank Branch,0,0,74977,Cloudy,4,46371
ATM_0044,2022-09-04,Sunday,Night,42159,15245,Supermarket,0,0,85913,Cloudy,5,34015
ATM_0017,2023-04-16,Sunday,Evening,28873,3597,Mall,0,0,135095,Cloudy,2,26891
ATM_0044,2023-07-14,Friday,Afternoon,53165,9516,Mall,0,0,89101,Snowy,4,53923
ATM_0020,2023-10-17,Tuesday,Night,55987,10571,Standalone,0,0,103006,Snowy,1,48907
ATM_0025,2023-05-10,Wednesday,Morning,54617,1449,Bank Branch,0,0,73036,Snowy,4,45408
ATM_0019,2023-12-18,Monday,Evening,61148,10092,Mall,0,1,106951,Cloudy,2,53697
ATM_0001,2023-08-03,Thursday,Morning,52937,5108,Supermarket,0,0,108165,Snowy,1,51470
ATM_0039,2022-12-27,Tuesday,Afternoon,24461,11280,Bank Branch,0,0,119653,Rainy,5,16053
ATM_0007,2023-10-05,Thursday,Morning,22386,3602,Standalone,0,0,87503,Clear,4,16267
ATM_0024,2022-05-15,Sunday,Morning,50391,10933,Standalone,0,0,84892,Cloudy,1,37663
ATM_0013,2022-05-16,Monday,Evening,36151,3241,Supermarket,0,0,80482,Snowy,1,34719
ATM_0017,2023-05-09,Tuesday,Evening,65804,12466,Standalone,0,0,103696,Cloudy,0,64352
ATM_0010,2022-08-20,Saturday,Night,41365,10610,Supermarket,0,0,151201,Cloudy,0,29227
ATM_0017,2023-07-04,Tuesday,Morning,48559,9825,Gas Station,0,0,135416,Snowy,4,45169
ATM_0025,2023-10-16,Monday,Evening,60616,7187,Mall,0,0,112648,Cloudy,0,49376
ATM_0040,2023-07-29,Saturday,Evening,64588,6364,Supermarket,0,0,95049,Clear,5,71752
ATM_0030,2023-12-19,Tuesday,Evening,48883,13103,Gas Station,0,0,103554,Clear,0,44826
ATM_0020,2023-05-20,Saturday,Morning,29969,12798,Mall,0,0,121615,Rainy,3,20440
ATM_0030,2023-01-15,Sunday,Night,48947,1695,Supermarket,0,0,108592,Rainy,3,41364
ATM_0042,2022-04-12,Tuesday,Night,53115,4594,Supermarket,0,0,121063,Snowy,0,57604
ATM_0045,2023-01-15,Sunday,Afternoon,49406,13407,Gas Station,0,0,100566,Rainy,2,33570
ATM_0007,2023-12-04,Monday,Evening,50446,10480,Supermarket,0,1,90754,Snowy,0,46126
ATM_0026,2022-10-10,Monday,Afternoon,53332,7606,Mall,0,1,125115,Cloudy,0,46057
ATM_0043,2022-08-06,Saturday,Morning,36580,17234,Mall,0,0,103931,Rainy,1,19917
ATM_0037,2022-07-30,Saturday,Morning,54005,14448,Supermarket,0,0,101645,Rainy,1,50495
ATM_0022,2022-06-01,Wednesday,Morning,65982,7413,Standalone,0,0,128186,Rainy,1,59418
ATM_0035,2022-09-14,Wednesday,Afternoon,43317,17266,Mall,0,0,131591,Clear,1,29204
ATM_0001,2023-01-02,Monday,Afternoon,42157,3277,Supermarket,0,0,81626,Rainy,2,36700
ATM_0004,2022-05-10,Tuesday,Night,49479,11171,Supermarket,0,0,131010,Clear,3,33011
ATM_0029,2023-01-06,Friday,Morning,35024,14921,Gas Station,0,0,95720,Clear,5,30306
ATM_0043,2023-06-18,Sunday,Evening,33159,11912,Gas Station,0,0,103329,Clear,0,25578
ATM_0031,2023-02-16,Thursday,Night,57386,6811,Mall,0,0,89380,Cloudy,0,46929
ATM_0006,2022-11-26,Saturday,Afternoon,40439,15945,Mall,0,0,128410,Snowy,3,34410
ATM_0039,2023-06-28,Wednesday,Evening,41438,7238,Gas Station,0,0,112658,Cloudy,0,31297
ATM_0045,2022-04-28,Thursday,Afternoon,73212,18979,Gas Station,0,0,87744,Rainy,3,66038
ATM_0022,2023-04-10,Monday,Night,44184,11429,Gas Station,0,0,106689,Snowy,3,38065
ATM_0021,2023-11-13,Monday,Evening,47345,6008,Standalone,0,1,72413,Cloudy,0,54082
ATM_0006,2022-03-29,Tuesday,Morning,39036,7411,Gas Station,0,0,104475,Snowy,1,38979
ATM_0036,2022-03-03,Thursday,Evening,87903,7345,Mall,0,0,90211,Cloudy,5,88412
ATM_0004,2022-10-22,Saturday,Evening,65662,12919,Standalone,0,0,92814,Rainy,1,62761
ATM_0043,2023-05-09,Tuesday,Afternoon,62307,12536,Mall,0,0,121333,Snowy,0,54277
ATM_0049,2022-10-13,Thursday,Afternoon,67539,9164,Gas Station,0,0,102934,Clear,4,55095
ATM_0043,2023-12-12,Tuesday,Evening,55530,8033,Mall,0,0,100574,Snowy,2,39396
ATM_0023,2022-01-07,Friday,Afternoon,69176,10955,Bank Branch,0,0,100928,Cloudy,0,65922
ATM_0010,2023-10-11,Wednesday,Morning,59682,20816,Mall,0,0,93844,Rainy,3,49871
ATM_0027,2023-04-10,Monday,Evening,53287,9523,Bank Branch,0,0,105580,Snowy,4,46914
ATM_0039,2022-03-28,Monday,Morning,43303,10970,Bank Branch,0,0,121472,Clear,5,27130
ATM_0006,2022-10-06,Thursday,Night,34602,15975,Gas Station,0,0,69536,Cloudy,3,13365
ATM_0018,2022-08-09,Tuesday,Morning,41616,11886,Standalone,0,0,131310,Snowy,5,36074
ATM_0044,2023-08-31,Thursday,Night,49013,2759,Supermarket,0,0,56023,Clear,1,39942
ATM_0026,2023-09-06,Wednesday,Morning,34681,13541,Mall,0,0,104876,Rainy,1,28203
ATM_0049,2022-09-19,Monday,Evening,41538,13251,Standalone,0,0,98016,Cloudy,5,29348
ATM_0028,2022-06-29,Wednesday,Afternoon,27117,6540,Gas Station,0,0,99088,Rainy,4,27369
ATM_0036,2023-11-16,Thursday,Evening,53650,3742,Mall,0,0,128875,Clear,3,58712
ATM_0002,2023-04-16,Sunday,Morning,55140,12283,Standalone,0,0,111395,Cloudy,5,50909
ATM_0041,2023-03-04,Saturday,Evening,56715,10982,Mall,0,0,114180,Snowy,1,55307
ATM_0040,2023-04-17,Monday,Evening,39854,19004,Mall,0,0,99196,Clear,1,17874
ATM_0028,2023-08-27,Sunday,Night,28538,14203,Supermarket,0,0,86947,Snowy,5,16038
ATM_0022,2022-08-15,Monday,Evening,43215,0,Bank Branch,0,0,68321,Clear,4,46585
ATM_0033,2022-07-18,Monday,Evening,61406,5165,Standalone,0,0,99045,Rainy,1,49939
ATM_0007,2022-05-30,Monday,Evening,49945,4208,Bank Branch,0,0,130067,Rainy,5,49012
ATM_0005,2022-07-01,Friday,Night,63160,11041,Gas Station,0,0,59165,Cloudy,5,45291
ATM_0037,2023-10-21,Saturday,Evening,34975,8594,Standalone,0,0,135953,Clear,3,34023
ATM_0029,2023-10-09,Monday,Evening,59612,16996,Standalone,0,0,118492,Snowy,4,31988
ATM_0005,2022-11-14,Monday,Night,50894,6765,Gas Station,0,0,113964,Snowy,2,49157
ATM_0005,2023-10-23,Monday,Morning,55902,15247,Supermarket,0,0,89295,Cloudy,3,32067
ATM_0038,2023-07-22,Saturday,Morning,69760,10987,Gas Station,0,1,141505,Rainy,2,67984
ATM_0039,2023-05-03,Wednesday,Afternoon,39662,6742,Mall,0,0,90322,Snowy,5,41450
ATM_0006,2023-06-01,Thursday,Afternoon,57842,7131,Mall,0,0,99512,Cloudy,3,52993
ATM_0034,2023-06-20,Tuesday,Afternoon,82134,10190,Standalone,0,0,102400,Snowy,3,63702
ATM_0027,2022-12-13,Tuesday,Morning,46139,1657,Standalone,0,0,107984,Clear,4,49437
ATM_0044,2023-01-31,Tuesday,Evening,59707,3871,Standalone,1,0,70712,Rainy,2,74340
ATM_0006,2023-08-20,Sunday,Afternoon,53366,15235,Standalone,0,0,133678,Cloudy,1,38810
ATM_0039,2023-12-27,Wednesday,Morning,43116,9136,Standalone,0,0,117673,Snowy,1,31993
ATM_0043,2023-12-21,Thursday,Morning,72148,16900,Gas Station,0,0,87488,Clear,2,62245
ATM_0020,2022-07-04,Monday,Afternoon,55937,7248,Standalone,0,1,86567,Cloudy,1,69204
ATM_0015,2022-05-21,Saturday,Afternoon,49616,15863,Mall,0,0,110872,Clear,4,36515
ATM_0050,2023-07-07,Friday,Morning,44440,15743,Standalone,0,0,65205,Rainy,4,27508
ATM_0025,2022-06-07,Tuesday,Afternoon,30579,15804,Bank Branch,0,0,90645,Rainy,5,24837
ATM_0029,2022-02-14,Monday,Night,55197,10384,Standalone,0,0,74340,Rainy,3,42102
ATM_0040,2022-10-19,Wednesday,Night,26651,7859,Bank Branch,0,0,130015,Snowy,3,18513
ATM_0013,2023-01-12,Thursday,Night,62753,8391,Gas Station,0,0,141534,Cloudy,4,63816
ATM_0034,2023-03-05,Sunday,Afternoon,65454,11193,Bank Branch,0,0,94819,Rainy,2,53509
ATM_0004,2023-10-19,Thursday,Night,47054,13638,Standalone,0,0,101038,Clear,5,30732
ATM_0034,2022-05-08,Sunday,Evening,60989,9596,Mall,0,0,101572,Snowy,3,44295
ATM_0033,2022-05-31,Tuesday,Night,20026,14581,Mall,0,1,106929,Rainy,3,15613
ATM_0023,2022-01-28,Friday,Night,81325,9302,Mall,0,0,122163,Snowy,1,63843
ATM_0025,2022-03-25,Friday,Evening,34401,6881,Bank Branch,0,0,138280,Clear,5,35416
ATM_0042,2022-12-10,Saturday,Afternoon,63051,12478,Bank Branch,0,0,103008,Cloudy,5,52885
ATM_0009,2023-12-24,Sunday,Night,55474,11005,Gas Station,1,0,121013,Clear,0,39428
ATM_0017,2022-08-09,Tuesday,Afternoon,66582,15935,Supermarket,0,1,112774,Cloudy,0,57599
ATM_0050,2022-10-23,Sunday,Afternoon,32854,11513,Standalone,0,0,84914,Rainy,3,33383
ATM_0041,2023-09-30,Saturday,Night,49037,11643,Mall,0,0,106427,Cloudy,4,40231
ATM_0035,2022-01-17,Monday,Afternoon,56328,8779,Bank Branch,0,0,119281,Clear,4,45110
ATM_0023,2022-09-04,Sunday,Night,58961,13505,Bank Branch,0,0,94048,Clear,4,58892
ATM_0024,2022-03-11,Friday,Morning,70635,9134,Gas Station,0,0,100311,Clear,5,59438
ATM_0025,2023-01-18,Wednesday,Evening,73917,5765,Mall,0,0,80172,Clear,2,62198
ATM_0016,2023-11-04,Saturday,Morning,17699,18210,Supermarket,0,0,120196,Snowy,1,5219
ATM_0003,2022-12-27,Tuesday,Evening,64726,8375,Bank Branch,0,0,50011,Cloudy,5,46828
ATM_0031,2023-10-09,Monday,Afternoon,84364,3052,Bank Branch,0,0,67092,Cloudy,0,84729
ATM_0019,2022-07-26,Tuesday,Morning,70764,12819,Bank Branch,0,0,111895,Snowy,2,77131
ATM_0033,2023-02-12,Sunday,Night,62801,13794,Standalone,0,0,105623,Rainy,2,43066
ATM_0023,2022-02-18,Friday,Evening,38690,8596,Standalone,0,0,66140,Snowy,3,29741
ATM_0026,2023-03-27,Monday,Night,48524,10899,Standalone,0,1,127840,Cloudy,5,43086
ATM_0032,2023-01-12,Thursday,Evening,35155,14703,Mall,0,0,80350,Clear,3,18312
ATM_0039,2022-07-04,Monday,Evening,46630,10526,Standalone,0,0,73319,Snowy,5,44703
ATM_0019,2022-11-10,Thursday,Night,26105,12202,Supermarket,0,0,99607,Rainy,5,19842
ATM_0029,2022-12-26,Monday,Night,58287,10626,Mall,0,0,91411,Snowy,4,60302
ATM_0028,2022-10-09,Sunday,Morning,50732,10202,Mall,0,0,85960,Cloudy,2,45786
ATM_0033,2023-11-27,Monday,Afternoon,40056,3780,Mall,0,0,86141,Cloudy,0,42141
ATM_0009,2022-03-10,Thursday,Afternoon,45575,16238,Standalone,0,0,86530,Clear,4,36046
ATM_0010,2023-11-27,Monday,Night,54184,4062,Standalone,0,0,106196,Clear,4,55534
ATM_0009,2023-06-27,Tuesday,Evening,47220,9350,Gas Station,0,0,100876,Snowy,1,42011
ATM_0008,2022-01-27,Thursday,Afternoon,47794,7212,Gas Station,0,0,72603,Clear,2,44202
